"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"19",61.9,0.0689277522948095,0.0277930863975234,0.0669222216847132,1,0.0110828370685278,0.267716624816555,0.0223436690847709,0.361732315535182,0.0606853297583662,0.0647207557623661,0.0185105775441746,0.249624683152,0.0834155947477839,0.266108384842499,0.0280103101000854,0.0160025651183749,0.105898307974733,0.368397021985399,0.245328363818666,0.350579182559419,0.398175424497767
"20",63.6,0.0632644975709837,0.022462994152903,0.0731482472506666,1,0.012105036798396,0.264782789293408,0.0211396515397278,0.365701393410964,0.0608978800007268,0.0656952654539104,0.0177917197759753,0.252449504167226,0.0855187825150645,0.274254959353002,0.0282115058260287,0.0164038654007579,0.115584419357788,0.392809470763187,0.275168175094528,0.374983816451894,0.423712085333637
"21",65.4,0.0664537277087813,0.0226975413006542,0.0724517892446842,1,0.0103049058167628,0.261059368001623,0.0232940425923836,0.364258195918943,0.0609944282471812,0.0686295609880869,0.0199534265857319,0.259907772056562,0.0843814032142374,0.26122976650874,0.0266789624949307,0.0158239825176074,0.105252734943617,0.35753711241281,0.240984100376338,0.332453367113841,0.388362483554691
"22",67.2,0.0623058711349518,0.0221074899895023,0.0809985107918392,1,0.00993419687961581,0.253898875471627,0.0224132333380286,0.394700971544756,0.0612853802011733,0.0610236152977918,0.0179143511248141,0.249590310801731,0.0807864153855107,0.267101458335574,0.0282546636604761,0.0149821207815313,0.115971864378742,0.434357771211228,0.295763098746608,0.411605932026859,0.480523552978034
"23",68.9,0.0572314109808648,0.0210305750594213,0.0632584007291938,1,0.0118848150581262,0.271161330139626,0.0238730274124368,0.362807737394409,0.064877307945188,0.0642651843065224,0.0193741975264088,0.266288436430688,0.0822577580824313,0.267962515891348,0.0290396041499621,0.0158071877498414,0.113501152326417,0.407304697874676,0.268176217717658,0.378261229098781,0.445260439310811
"24",70.7,0.0713717943615402,0.0247249080262384,0.0644269597367949,1,0.0134054670225417,0.262682286105494,0.0208373584931558,0.343788442814561,0.0619633824081761,0.063173511283567,0.0173035933601587,0.246778380088636,0.0787791714243158,0.249563116760282,0.025748962834545,0.0143152017003688,0.103896757297698,0.344875846619642,0.240082744866886,0.327458339250046,0.382569882866334
"25",72.5,0.063693228400504,0.0234499060414709,0.0703737676620515,1,0.00975307685017137,0.265056760162354,0.0212803283294404,0.36130834159209,0.0633284483069663,0.066728695705131,0.017517478708623,0.267355775115337,0.0838321731102452,0.280970542397283,0.0290049840442406,0.0150091026371188,0.116451526443808,0.3873930597337,0.258036260567537,0.357765755723919,0.407219785404555
"26",74.2,0.0642536918589421,0.0232981106968968,0.0681961256649577,1,0.0115990755821281,NA,0.0252361387438846,0.394108294031658,0.0737940060220024,0.0761256913329291,0.020425060062638,NA,0.0942233420721107,0.290520412851519,0.031274858756208,0.0160174627598457,0.115542802841051,0.397308584255316,0.267481046019496,0.389403122635094,0.51640314750509
"27",76,0.0655760707060593,0.0241396397783671,0.0620795031372053,1,0.0105692378789341,0.270298456845824,0.0235066328116075,0.353532206992407,0.0623834527043839,0.0685155616230381,0.0188103025817641,0.272707877501607,0.0869515418113661,0.267713269347033,0.0298503288405073,0.0152487995133635,0.116351173344463,0.392714448435836,0.245652094266591,0.328939881226915,0.387878820504569
"28",77.8,0.073813255757391,0.0264962604909014,0.0789069056774623,1,0.0124524066199324,0.252654315288304,0.0204245846054269,0.354996642782555,0.0589379239488584,0.0592448702526125,0.0160172206790703,0.226943533373748,0.0729296347366272,0.228717084513354,0.0234373567171165,0.0137427039993943,0.0950209044481556,0.314711339910043,0.226997073884963,0.307717022513855,0.363703578495624
