Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
131,012;55720,7;20728,3;371389184,0;199355,0;24195080,0;731530,1;823680,0;202246,0;9892,5;145694,0;5395,5;95013,0;42034,0;31034,0;65640,5;33434,0;208966,0;92255,7;283068,0;132067,0;22136,5;32884,0;95514,0;492972,0;302868,0;309756,0;322776,0;415384,0;305936,0
132,406;52843,0;22333,7;362044864,0;173094,9;23612626,0;733655,1;827408,0;194922,0;10692,5;144642,0;5945,0;97867,0;42584,0;29484,5;58587,0;34634,0;215690,0;93352,0;283776,0;125105,0;25585,5;31534,5;102622,0;478392,0;300808,0;316844,0;324136,0;404000,0;316440,0
133,799;54382,7;23805,3;369866592,0;182068,4;23434908,0;760148,4;809280,0;204152,0;8743,0;155114,0;6295,0;95964,0;44834,0;31134,0;57687,0;31834,0;216844,0;93267,7;285984,0;127761,0;22836,5;35534,0;97766,0;477636,0;306236,0;334844,0;335600,0;428836,0;322676,0
135,193;55185,0;22467,3;376341728,0;202352,4;23749870,0;796154,3;833872,0;202846,0;10992,0;155514,0;5995,0;100670,0;44734,0;32234,0;60688,0;34134,0;217044,0;85341,3;293120,0;131816,0;21187,0;33634,0;102822,0;498168,0;302464,0;320164,0;343852,0;434328,0;315084,0
136,587;59000,7;23872,3;386611968,0;193610,8;24440030,0;761696,5;839216,0;207914,0;11791,0;153010,0;5395,5;102673,0;43484,0;33384,0;65290,0;33384,0;208918,0;97485,7;284176,0;137476,0;23236,5;32484,0;108230,0;496808,0;302568,0;321068,0;335500,0;459232,0;309808,0
137,981;57326,3;23471,0;367597504,0;189842,1;23852718,0;751830,3;817824,0;212882,0;9643,0;161328,0;5045,5;103573,0;44734,0;30584,5;57638,0;35184,0;213334,0;87534,3;276184,0;134822,0;22286,5;31634,0;102422,0;508112,0;301112,0;316996,0;326748,0;425160,0;323636,0
139,374;54917,3;23336,7;364056416,0;184570,0;24269680,0;756914,8;812688,0;214838,0;9543,0;158924,0;4996,0;107679,0;46884,0;33334,0;62039,0;36984,0;236318,0;97991,0;290508,0;134022,0;23136,5;33134,5;101971,0;497108,0;322424,0;341032,0;339124,0;424704,0;321972,0
140,768;58198,0;25009,3;381622016,0;185938,9;24142324,0;792942,2;822776,0;207612,0;9093,0;166342,0;6395,0;102672,0;47884,0;35434,0;66391,5;36184,0;226378,0;95460,7;303924,0;137426,0;22986,5;32184,0;105226,0;495396,0;312872,0;343448,0;336352,0;433724,0;326396,0
142,162;56858,7;21932,3;382114816,0;187226,8;23762428,0;770424,8;826912,0;208066,0;9942,5;158472,0;5945,0;107679,0;46034,0;35184,0;59137,5;35284,0;210774,0;89473,0;278848,0;134422,0;22087,0;34084,0;101120,0;491156,0;300708,0;310412,0;335348,0;422792,0;319156,0
143,555;52977,0;20059,7;382007808,0;190312,0;23409832,0;769181,1;835160,0;199588,0;9992,5;154012,0;6445,0;110633,0;46434,0;32584,0;61037,5;32334,0;221160,0;95545,7;281308,0;133619,0;23086,5;32884,0;104124,0;484596,0;303524,0;322324,0;332380,0;421432,0;322324,0
144,949;58063,0;22066,3;368590304,0;193181,0;24414400,0;739540,3;816504,0;210372,0;9093,0;151658,0;5995,0;108981,0;48134,5;28884,5;63289,0;33734,0;221964,0;98665,3;278044,0;132166,0;23536,5;34584,0;101771,0;494388,0;304228,0;318356,0;327708,0;430596,0;317348,0
146,343;58933,0;21330,7;367714496,0;182718,2;23770684,0;749315,2;801208,0;200690,0;11092,0;151054,0;5195,5;105976,0;44834,0;28784,5;60787,5;36084,0;230544,0;88884,0;276892,0;130965,0;24636,0;36034,0;100070,0;474104,0;329764,0;334092,0;323432,0;419768,0;322728,0
147,737;53177,3;23336,7;366233152,0;182870,0;23488986,0;759834,2;812648,0;195526,0;10542,0;152008,0;6045,0;101021,0;44034,0;32534,0;60387,5;33334,0;213584,0;88461,0;283068,0;130064,0;22636,5;34484,0;104174,0;473856,0;292468,0;330824,0;336056,0;416344,0;317448,0
149,130;50634,3;21598,0;368467712,0;190739,8;22839096,0;752604,9;813264,0;196476,0;8543,5;157120,0;5995,0;101071,0;45934,0;35134,0;62639,0;32284,0;202044,0;90653,0;281160,0;141734,0;21987,0;33884,0;104175,0;480108,0;292868,0;325240,0;329868,0;425512,0;310608,0
150,524;52307,3;18855,7;370492416,0;189877,0;23542848,0;745757,7;809128,0;198634,0;8693,5;149052,0;6844,5;103173,0;44634,0;32334,0;58388,0;34684,0;212980,0;90739,0;283268,0;138180,0;20237,0;32784,5;100770,0;493576,0;306540,0;313828,0;335604,0;442040,0;311816,0
151,918;56523,3;23537,3;365738976,0;188810,7;23910924,0;746245,9;834960,0;216848,0;10392,5;147998,0;6345,0;99218,0;45284,0;34034,0;62539,5;34184,5;219906,0;91160,0;281008,0;134973,0;22286,5;32384,0;102922,0;503216,0;305936,0;325492,0;327960,0;424048,0;312472,0
153,311;56791,3;21129,7;360079744,0;189853,4;24117664,0;753089,6;807120,0;201394,0;10492,0;156568,0;5445,5;104925,0;42234,0;35284,0;62689,0;36434,0;215992,0;85173,0;287392,0;127310,0;22986,0;33384,0;104024,0;476276,0;306640,0;326848,0;323428,0;407120,0;313576,0
154,705;54248,3;22266,7;366631296,0;182420,5;23255036,0;760833,8;834008,0;198784,0;10542,5;157218,0;5096,0;97316,0;45784,0;35234,0;65390,5;34634,0;221060,0;86859,7;289600,0;133219,0;24535,5;33434,0;102572,0;493780,0;296636,0;332384,0;331628,0;427424,0;336304,0
