Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
126,830;1537,0;1804,7;14144882,0;195796,4;73545,0;3573216,0;717272,0;48035,0;5695,5;2248,0;499,0;949,0;149,0;699,0;27485,5;49,5;449,0;2198592,0;0,0;2597,5;0,0;99,0;0,0;0,0;68791,0;0,0;0,0;0,0;0,0
128,224;1002,3;1537,0;14054334,0;193966,4;67740,0;3550272,0;715072,0;43734,0;5495,5;1898,0;599,0;1198,5;249,0;1198,5;25936,0;0,0;499,0;1962368,0;0,0;2397,5;99,5;49,5;0,0;0,0;72844,0;0,0;0,0;0,0;99,0
129,618;601,3;1336,7;14072858,0;210417,4;74094,0;3392554,8;715456,0;46635,0;5495,5;1898,0;349,0;1548,0;299,0;1248,5;28735,5;149,0;349,0;1742672,0;0,0;2747,5;99,0;49,5;99,0;99,0;63189,0;0,0;0,0;0,0;249,0
131,011;868,7;1403,7;13745750,0;219684,1;69692,0;3395904,0;715680,0;45434,5;5895,5;2048,0;449,0;1198,5;149,5;2048,0;27036,0;149,0;549,0;1702330,6;49,5;2697,5;49,5;49,5;49,5;0,0;59187,0;0,0;99,5;0,0;449,0
132,405;1136,0;1202,7;13890986,0;204568,8;77447,0;3529152,0;706648,0;42884,5;5195,5;1997,5;549,0;1348,5;299,0;1498,5;27385,5;0,0;399,0;1693248,0;49,5;2597,5;0,0;99,5;0,0;0,0;54285,5;0,0;0,0;0,0;99,0
133,799;1136,3;1804,7;13182357,0;196998,0;67990,0;3472832,0;703352,0;42684,0;5395,5;1798,5;799,0;1798,0;299,0;749,0;29335,5;99,0;199,0;1608565,4;49,5;3147,0;99,0;249,0;49,5;0,0;49734,5;0,0;0,0;0,0;49,5
135,192;534,3;1002,3;12795798,0;183232,4;70542,0;3388394,8;710632,0;39184,0;5295,5;2097,5;898,5;799,0;149,0;849,0;26636,0;49,5;99,0;1618277,4;49,5;2297,5;199,0;249,0;0,0;0,0;43234,0;0,0;0,0;0,0;0,0
136,586;868,3;1203,0;11995022,0;185768,2;68891,0;3360906,8;722224,0;50286,5;5445,5;1848,0;549,0;1498,5;249,0;549,0;25885,5;0,0;149,0;1687253,4;99,5;2947,5;0,0;49,5;0,0;0,0;46884,0;0,0;0,0;49,5;49,5
137,980;1002,3;1269,3;12086628,0;182177,2;68742,0;3967549,3;731200,0;40984,0;4296,0;1898,0;399,0;949,0;249,0;898,5;24536,0;0,0;199,0;1832304,0;0,0;2297,5;99,0;0,0;49,5;0,0;47835,0;0,0;5696,0;0,0;99,5
139,374;668,3;1470,3;11883456,0;183486,8;71343,0;3347978,8;705184,0;39884,0;13990,5;1798,0;399,0;1248,5;249,0;998,5;26935,5;49,5;299,0;1726341,4;0,0;2597,5;49,5;0,0;0,0;0,0;38484,0;0,0;0,0;0,0;0,0
140,767;935,3;1737,7;11745517,0;191164,8;69242,0;3472576,0;740752,0;39884,0;5895,5;2197,5;699,0;1248,5;199,0;849,0;25885,5;49,5;49,5;1583253,4;0,0;2647,5;199,5;99,5;99,5;0,0;39934,0;0,0;0,0;0,0;199,0
142,161;1069,0;1269,3;11568372,0;189423,3;69442,0;3321408,0;713328,0;40934,0;4646,0;1698,0;249,0;549,0;149,0;499,0;26836,0;49,5;149,0;1499680,0;49,5;2447,5;149,0;99,5;0,0;0,0;43984,0;0,0;0,0;0,0;0,0
143,555;601,3;1403,3;11541572,0;194467,2;66040,0;3286293,3;701472,0;40934,0;5545,5;2398,0;449,0;1148,5;449,0;599,0;26085,5;49,5;199,5;1532410,6;0,0;2947,0;99,5;0,0;99,5;49,5;44934,0;0,0;0,0;0,0;49,5
144,948;534,3;1804,7;11366028,0;185572,3;71944,0;3248917,3;695816,0;43484,0;5945,0;2347,5;349,0;1048,5;499,0;599,0;28135,5;0,0;249,0;1531173,4;99,5;2747,5;49,5;0,0;0,0;0,0;41834,0;0,0;0,0;0,0;99,5
146,342;401,0;1403,7;11090305,0;175515,1;69792,0;3161248,0;723216,0;38534,0;4846,0;2547,5;449,0;4196,5;449,0;1798,0;24986,0;0,0;449,0;1606549,4;49,5;2048,0;149,0;49,5;0,0;49,5;47734,0;0,0;0,0;0,0;49,5
147,736;935,3;1069,0;11314045,0;176970,1;68792,0;3442427,0;736840,0;41984,0;4746,0;1798,0;949,0;1748,0;11643,0;12941,0;26335,5;1998,0;449,0;1701354,6;149,5;2397,5;49,5;8344,0;149,0;5396,0;46534,0;2398,0;0,0;149,5;499,0
