Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
164,461;601,3;534,3;581600,0;11791,5;85304,0;1576,2;759840,0;32984,5;4496,5;1098,5;749,0;549,0;199,0;99,0;23786,5;349,0;349,0;23911,2;199,0;3147,0;0,0;149,0;199,0;199,0;49,5;199,0;0,0;199,0;0,0
165,854;133,7;467,3;588976,0;12341,0;78948,0;1442,0;764800,0;35284,5;4246,5;1398,5;1198,5;449,0;199,0;349,0;25486,5;49,5;199,0;23489,8;99,5;2947,5;0,0;0,0;49,5;199,0;149,5;0,0;0,0;0,0;99,5
167,248;400,7;467,7;595040,0;13041,0;84002,0;1408,5;750504,0;34634,5;3646,5;948,5;699,0;399,0;249,0;449,0;26085,5;149,0;0,0;24500,5;49,5;2547,5;0,0;0,0;0,0;0,0;149,0;0,0;0,0;0,0;0,0
168,642;400,7;601,3;507756,0;13990,5;79999,0;1441,8;769616,0;35984,0;3996,5;1098,5;699,0;349,0;249,0;199,0;26135,5;199,0;149,5;23405,5;199,0;2697,5;49,5;99,5;0,0;0,0;149,5;0,0;0,0;49,5;99,5
170,035;467,3;467,7;537736,0;13191,0;78147,0;1173,7;760904,0;33435,0;3946,5;998,5;749,0;399,0;599,0;399,0;25186,0;149,5;249,0;24163,7;0,0;2647,5;0,0;99,0;0,0;0,0;299,0;0,0;0,0;0,0;49,5
171,429;267,0;668,0;507552,0;11941,5;75295,0;1710,3;758840,0;33484,5;3996,5;949,0;599,0;599,0;0,0;149,5;28685,5;99,5;49,5;22142,7;0,0;2847,0;99,5;0,0;49,5;0,0;0,0;0,0;0,0;0,0;49,5
172,823;0,0;267,0;524512,0;12491,0;82601,0;1274,3;763960,0;34184,5;4096,0;899,0;599,0;649,0;149,0;349,0;23686,5;99,0;149,0;22310,8;49,5;3097,5;0,0;49,5;199,0;0,0;0,0;0,0;0,0;0,0;99,5
174,217;868,7;400,7;510788,0;12041,5;80099,0;1375,0;767816,0;35684,5;4846,0;999,0;749,0;499,0;199,0;599,0;24586,0;49,5;49,5;22142,7;49,5;2447,5;49,5;49,5;49,5;199,0;49,5;0,0;49,5;0,0;0,0
175,610;333,7;601,0;516844,0;12841,0;75646,0;1375,0;749256,0;36334,5;4596,0;1049,0;549,0;948,5;199,5;149,0;27086,0;249,0;199,5;23406,0;0,0;2447,5;0,0;49,5;0,0;149,5;0,0;0,0;0,0;0,0;49,5
177,004;601,0;267,3;525432,0;11991,5;78898,0;1039,5;750656,0;31784,5;3597,0;1148,5;599,0;599,0;149,0;349,0;27185,5;199,5;149,5;22648,0;0,0;2348,0;0,0;199,0;0,0;0,0;49,5;0,0;0,0;0,0;49,5
178,398;267,0;200,3;520068,0;12441,0;79999,0;1576,2;751408,0;38234,5;4646,0;1048,5;649,0;699,0;149,0;249,0;25986,0;49,5;299,0;24500,3;49,5;2398,0;49,5;49,5;0,0;99,0;49,5;0,0;0,0;0,0;0,0
179,791;133,7;467,3;531984,0;12591,0;76796,0;1140,2;767536,0;35984,5;3996,5;849,0;599,0;499,0;249,0;699,0;25535,5;199,5;0,0;21721,3;49,5;2448,0;0,0;49,5;49,5;0,0;99,5;0,0;0,0;0,0;0,0
181,185;267,0;334,0;514520,0;12391,0;80750,0;1173,7;755968,0;36384,0;4546,0;1148,5;549,0;649,0;499,0;399,0;27785,5;0,0;0,0;20795,2;49,5;2448,0;0,0;0,0;49,5;0,0;99,5;0,0;0,0;0,0;99,5
182,579;267,0;333,7;509272,0;13041,0;80500,0;1039,5;774744,0;36884,0;3847,0;999,0;299,0;349,0;349,0;399,0;26285,5;49,5;49,5;21385,0;99,0;2747,5;49,5;0,0;99,5;0,0;99,5;0,0;0,0;0,0;49,5
183,973;267,0;802,0;517448,0;13091,0;80999,0;1173,7;772296,0;37334,0;3297,0;1048,5;899,0;449,0;149,0;299,0;23386,5;149,0;0,0;21300,7;0,0;2597,5;49,5;149,5;49,5;149,5;99,5;0,0;0,0;0,0;0,0
185,366;267,3;334,0;506344,0;13091,0;81450,0;1106,5;757256,0;35034,5;3647,0;1148,5;948,5;799,0;199,0;349,0;24286,0;99,5;0,0;21637,3;99,0;3197,0;0,0;49,5;0,0;199,0;49,5;0,0;49,5;0,0;0,0
186,760;334,0;1002,3;529256,0;13840,5;78047,0;1274,3;759664,0;34084,5;3447,0;1148,5;599,0;799,0;499,0;399,0;25136,5;0,0;149,5;21384,8;0,0;2797,0;49,5;0,0;99,5;49,5;0,0;0,0;0,0;0,0;0,0
188,154;467,7;735,0;512704,0;14790,0;81900,0;1307,7;740368,0;34734,5;4046,5;599,0;499,0;449,0;249,0;449,0;25236,0;49,5;99,5;24079,3;0,0;2897,0;99,0;0,0;99,5;49,5;0,0;49,5;0,0;0,0;49,5
