Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
72,475;0;601,3;494156;12641;74695;1643,5;779328;37684,5;5895;2148;549;849;399;249;26036;99;0;23490;99;2897,5;0;0;0;0;99,5;0;0;0;49,5
73,869;467,3;935,3;482052;13490,5;73094;1509,2;801656;33384,5;4196,5;1398;549;349;249;549;25885,5;0;0;24585;0;2747,5;99,5;0;0;0;99,5;0;0;0;49,5
75,262;534,3;400,7;487604;12741;70643;1609,8;795240;39384;3647;1948;349;449;199;499;25086;0;149,5;22395;0;2997;0;49,5;0;0;0;0;0;0;0
76,656;267,3;334;484168;13790,5;68191;1140,2;790720;33084,5;4496;1948;449;599;299;249;27735,5;0;99;25006,2;149;3646,5;49,5;0;49,5;0;0;0;0;0;0
78,05;200;200,3;476004;12241;71793;1542,8;793104;34934,5;4046,5;1398,5;249;998,5;99,5;199;24736;0;49,5;24079,3;49,5;1848;0;49,5;149,5;0;49,5;0;0;0;0
79,444;467,3;267,3;500412;11891;73244;972,3;793688;32585;4146,5;1548;549;599;49,5;299;23836,5;99,5;49,5;23910,8;99,5;2947,5;99;49,5;0;0;149;0;0;0;0
80,837;267,3;401;483160;13440,5;71593;2113,2;780760;34334,5;3397;1648;499;649;49,5;499;25136;149,5;199;21553,2;49,5;2198;0;0;0;99;49,5;0;0;0;0
82,231;401;200,3;504248;13540,5;71893;1039,7;788744;35384,5;3846,5;1898;399;399;149,5;349;25636,5;49,5;49,5;23995,3;0;2897;0;49,5;0;0;199;0;0;0;0
83,625;267;200,3;499400;13490,5;72893;1643,5;794736;35634,5;2897;1648;349;749;249;599;24336;0;99,5;25174,2;49,5;3646,5;0;0;49,5;0;0;0;0;49,5;0
85,019;66,7;534,3;500408;13591;71393;1375;798664;34234,5;4946;1898;399;848,5;199,5;299;26236;49,5;199;21469;0;2298;0;0;0;0;49,5;49,5;49,5;0;99
86,412;334;333,7;501824;11142;72093;1442,2;759368;32885;4646;1398;649;699;149;449;27285,5;149;0;26858,5;49,5;1798;0;0;0;0;0;0;0;0;49,5
87,806;66,7;200,3;487400;12941;70193;1609,8;788040;36784,5;3896,5;1548;549;549;49,5;249;26685,5;0;0;21637,3;0;2797,5;0;0;0;49,5;0;0;0;0;0
89,2;334;401;510904;13340,5;71293;1073,2;775544;36134,5;3746,5;2297,5;449;349;99;599;27135,5;0;99,5;20879,3;49,5;2947;0;0;49,5;0;49,5;0;0;0;49,5
90,593;334;400,7;490120;13191;70292;1509,3;772512;33534,5;4945,5;1848;899;299,5;149;149;27935,5;99;0;21047,8;49,5;2997;0;99,5;0;0;49,5;0;0;0;0
91,987;668;668;498796;12491;74895;1274,3;795520;33434,5;4146,5;1498;449;699;299;349;24236;0;249,5;24585;49,5;3496,5;149,5;49,5;0;0;0;0;0;0;0
93,381;133,3;66,7;484980;12391;66490;1375;773336;37134;3696,5;1948;849;499;149;349;26435,5;49,5;0;20121,5;99,5;2148;0;0;0;99;0;0;0;0;0
94,775;267,3;668;496880;10342,5;72493;972,5;781840;37784,5;4196,5;1898;699;899;399;399;26135,5;0;49,5;24416,5;0;2297,5;49,5;49,5;149;0;49,5;0;0;0;49,5
96,168;601,3;267,3;482860;12691;71193;1576,5;780920;34734,5;4796;2447,5;998,5;599;149;149;26885,5;49,5;149;21721,5;0;1948;0;49,5;0;49,5;99,5;0;0;0;0
97,562;333,7;601,3;483668;12191,5;67741;1643,5;780584;35834,5;4046,5;1598,5;599;549;99;549;27735;49,5;249;22732,2;149,5;2647,5;0;0;49,5;0;149;0;0;0;0
98,956;66,7;334;504548;13940,5;72643;1240,8;779984;34884,5;4845,5;1698;249;599;49,5;299;27735,5;299;99,5;24416,3;0;2198;0;0;0;49,5;49,5;0;0;0;49,5
100,349;400,7;200,3;491436;13240,5;72194;1106,7;781376;34234,5;4496;1548;299;749;99;349;26136;0;99,5;23827;0;1848;0;0;0;0;99,5;0;0;0;99
101,743;200,3;467,7;493152;11891;69642;1173,8;780512;34234,5;4296;2048;449;499;249;249,5;25086;0;199,5;23405,8;0;2897;49,5;0;0;49,5;49,5;0;0;0;0
103,137;334;400,7;501724;12641;66840;1207,3;787584;37084;4196,5;1598,5;649;849;249;249,5;26685,5;99;299;24163,8;0;2797,5;49,5;0;0;0;99;0;0;0;49,5
104,531;200;467,3;499304;11591,5;70592;1207,3;773696;33684,5;4346;1498,5;299;549;199;249;24336;0;99;23153,2;0;2447,5;0;0;0;0;0;0;49,5;0;0
105,924;267;1403,3;5832690,5;90665,5;74745;1666549,4;733904;37934;4846;2497,5;749;1298,5;349;2048;26086,5;249;499;1287568;0;2997;199;99,5;0;49,5;10592;49,5;0;0;49,5
107,318;601,3;2606,7;14299215;180843,9;73244;3432501,3;714048;42134;5245,5;1748;349;1748;499;1298,5;24336,5;49,5;699;1776816;0;2997,5;199,5;49,5;0;149;17239;0;0;0;49,5
108,712;734,7;2272,7;14673231;170488,8;72494;3461941,3;733384;37134;5345,5;2147,5;1049;899;349;1048,5;26585,5;99,5;649;1967616;0;1948;49,5;149;49,5;49,5;19887,5;0;0;0;0
110,105;467,7;2005;15663362;174796;72193;3821218,3;776648;38134,5;4696;2647,5;449;1148,5;199,5;799;23836,5;99;998,5;1984256;99;2797;199,5;149;49,5;0;29784,5;0;0;0;49,5
111,499;601,3;1938,7;15984019;203374,6;67940;3974710;765192;38734;4896;1698;399;1248,5;0;749;27635,5;0;399;1893184;99,5;2497,5;199;149;0;49,5;26685;0;0;0;99,5
112,893;801,7;1804,7;15953458;176653,7;72744;3568938,8;721480;45734,5;4996;2148;749;998,5;399;999;29485;0;299;1894400;0;2198;149;149;0;149,5;22287;0;0;0;199
114,287;1403,3;2339,7;16028352;183686,8;72243;3548492;725720;56287;4995,5;1848;399;1248,5;349;1099;28185,5;149,5;349;1849765,4;49,5;3247;149,5;99,5;0;99,5;23836,5;0;0;0;99
115,68;1336,3;1871,3;15791790;187045,1;74195;3593184;716272;58988;6045;1798;799;1448;449;1298,5;25336;0;649;1863552;49,5;2247,5;99,5;49,5;49,5;0;24685,5;0;0;0;149
117,074;734,7;2874,3;16050014;176580,6;65239,5;3590741,3;721552;53236,5;4946;1198,5;399;949;249,5;549;27086;99,5;899;1812746,6;99;2048;99;199,5;0;0;34984;0;0;0;0
118,468;1403,7;1537;15365369;184328,6;73094;3560576;732368;48185;4796;2647,5;649;1298,5;549;1298,5;28285,5;99;699;2040832;49,5;3347;99;99,5;0;149,5;53285,5;0;0;0;49,5
119,862;1336,7;2205,7;15602150;193714,6;69492;3680288;713248;42534;5145,5;2148;349;1199;599;649;29685,5;49,5;449;2143904;0;2347,5;149,5;199,5;149,5;149;65290;0;0;0;49,5
121,255;801,7;2005;15083003;193188,7;65689,5;3639232;741736;42034,5;4996;1548,5;649;1198,5;349;1149;29435,5;0;799;2159658,8;199;3397;49,5;49,5;0;149;63139;0;0;0;99,5
122,649;400,7;1938;15047474;197633,9;69292;3638304;710224;46035;4946;1498,5;549;1049;399;1148,5;27885,5;0;499;2151888;49,5;2497,5;299;399;49,5;0;74595;0;0;0;99,5
124,043;1269,7;1671;14688076;196091,1;72844;3667424;724712;43985;4995,5;2248;549;1298,5;299;1049;28235,5;0;349;2255573,3;99,5;2647,5;199;99;49,5;0;75446;0;0;0;199
125,436;935,3;1336,3;14929074;202200,5;75045;3696064;717088;44684;4945,5;1548;399;1098,5;149,5;1348,5;29235;0;499;2222837,3;0;3147,5;49,5;99;0;199,5;73144;99,5;0;0;199
126,83;1537;1804,7;14164882;195796,4;73545;3573216;717272;48035;5695,5;2248;499;949;149;699;27485,5;49,5;449;2198592;0;2597,5;0;99;0;0;68791;0;0;0;0
128,224;1002,3;1537;14074334;193966,4;67740;3550272;715072;43734;5495,5;1898;599;1198,5;249;1198,5;25936;0;499;1962368;0;2397,5;99,5;49,5;0;0;72844;0;0;0;99
129,618;601,3;1336,7;14092858;210417,4;74094;3392554,8;715456;46635;5495,5;1898;349;1548;299;1248,5;28735,5;149;349;1742672;0;2747,5;99;49,5;99;99;63189;0;0;0;249
131,011;868,7;1403,7;13765750;219684,1;69692;3395904;715680;45434,5;5895,5;2048;449;1198,5;149,5;2048;27036;149;549;1702330,6;49,5;2697,5;49,5;49,5;49,5;0;59187;0;99,5;0;449
